0,"""Imagine being able say, you know what, no sanctions, no forever hearings on IEAA regulations, no more hiding\xa0under\xa0the pretense of friendly nuclear energy. \xa0You have 2 days to; \xa0i.e. \xa0let in the inspectors, quit killing the civilians, respect the border and rights of your neighboring country, \xa0or we ( whoever we are) will shut off your nuclear plant, your monitoring system and whatever else we fancy, like your water\xa0treatment\xa0plants and early warning sandstorm system and the traffic lights of all major cities...\xa0\nand yes..( pinky finger to lip edge) so your teenagers revolt and topple your regime... \xa0disconnect ... FACEBOOK.... buwhahjahahaha."""
0,"""""But Jack from Raleigh wasn't done. He came back with this bit of furious grammatical genius:""\n""Holy hell, Jack. Calm down.""\n\nGOD D@MN HILARIOUS!\n\nWho writes your material GraziD?  \n\nMM never even acknowledged we were here (well accept when Uber ticked him off)  GraziD not only interacts with us, he calls you dumb when you're being dumb... right beeaner?"""
0,"""the Star box allows you to link your comment to Facebook and Twitter. You can go to your profile and change settings. If you click back on yellow star it will return to grey"""
0,"""Cheney,Rush,Nugent.The list is endless."""
0,"""Obama....I'm blow'n mo smoke up yo arses.....Anyone wonder why the Dem's as such sheep.... It must be some DNA thing not to be able to do simple math.\\n\\nI just don't get it...."""
0,"""Why isn't the US, UK, France, Germany, Italy etc.\xa0taking these people in?\xa0 Why is a country that's the size of New Jersey (over 60% of which is desert), that was still a poor 3rd World country just 20 yrs ago, that already has unemployment problems expected to\xa0absorb 10s of 1000s (soon to be 100s of 1000s) of uneducated 3rd world refugees?\xa0 Why don't you petition your govt to take in a few 1000 of these people?"""
1,"""who told you that....stupid ask yourself who kick his daughter out of the house at the age 16.....when it's comes protecting weaman you guys the last ppl on earth who can open their mounths.."""
0,"""glad you realize this :P\n\nkidding. """
1,"""You're an idiot baldo. """
0,"""Call the vote. Slap this bastard down in front of ""his people."" Let this pimp/murderer/punk/liar peddle his toilet papers in Hell."""
0,"""I feel like you just tricked me into clicking that link again of shit I don't want to see.\n\nIt's not appealing to everyone. I really don't want to have to look at this work and ponder the philips head screw indents of her nipples and why the artist made that decision. There isn't anything I personally can take away from that piece in terms of line art, color and composition,\xa0 that I can't get from non-fetish work. \n\nThis is a taste issue, not an art issue."""
1,"""You show your stupidity and ignorance each and every day."""
1,"""Wait until you are a minority in your own rednecked country.\xa0 It won't be long now.\xa0 \xbfHabla usted espa\xf1ol?"""
0,"""Well you ARE special . (damnit Clown )"""
0,"""Holy shit. \xa0Son is droppin science."""
1,"""Its ""faggot"" you ignorant fuck plus what you trying to impress us with your girl scout club you dumb shit, fuck you, your FAGGOT ass cousins, and fuck m.o.b. you stupid fuck! What is that a little gang full of wannabes cuz unless its a cartel you aint impressing shit! We butt fuck little bitches like you and your cousins down here and the chop you into pieces cuz your little club ain't shit dumb mudafucka! """
0,"""How many more Americans casualties were incurred after Nixon took over? What about civilian casualties?"""
0,"""Jobs-jobs-jobs?\n\nRepublicans can approve infrastructure projects and put people to work - including eco-friendly waterline updates.\n\nMore important to maintain failure apart then work together for success."""
1,"""Get thatdick outta your mouth so you can talk."""
0,"""Considering Obama's PREFERRED methods of dealing with prisoners, this may be the best way. I mean, we're not going to get any intel out of them anyway, and any that we DO happen to get will be released to the MSM immediately; letting the other bad guys know what WE know,  so what's the point of capturing these a-holes? Might as well off them. When we get somebody SENSIBLE back in the White House THEN we can go back to capturing them.  You know, at the point when the soldier grabbing the goon doesn't have to worry about getting sued by the cretin who's being represented by one of Barry's personal injury squad because he punched the murderous thug in the chops.     """
0,"""@Blaine Jungwirth @Afrika Bambaataa The EFC is kind of BS for grad school - I went straight through, so they still looked at my parents resources. Unfortunately, my college graduation present from pops was a firm handshake and the ""you\\'re a man now - you pay it for"" moment"""
0,"""Most bankruptcies take months or years to resolve.  GM's took a few days."""
0,"""Never mentioned race moron.  It's a high crime area no matter what race you might be...."""
1,"""Judging by your prior posts listed in your profile, you are a piece of foul white trash. What kind of animals raised you?"""
0,"""Lebron isnt weak he just doesnt hit free throws down the stretch, close out games, passes up the last shot and if he isnt up by 10 or more with 3mins left they lose he is considered the best reg season player but playoffs belong to kd and kobe every year"""
0,"""Fucking hot!!"""
0,"""bullchit (using a scat phrase in your chittyhonor) Obama and his handlers, namely Axelrod, have incorporated bin llladen as a mythological enhancement to your communist hero's fading image.\xa0Your are not only 'full of it', unhinged and repulsive, you are a LIAR."""
1,"""RYAN...........GO BACK TO SUCKING YOUR MOTHERS TEAT................BOYWONDER"""
1,"""Your are an idiot"""
1,"""Very sorry I mentioned it.\xa0 Just keep bitching here where you are SURE it will amount to nothing."""
0,"""Thought it would be lung cancer!"""
